berth_capacity,ship_size,cargo_volume,equipment_availability,worker_availability,operational_costs,tide_levels,ship_arrival_delays,demand
100.0,47.5281046698,1043.8817099246,8.0312804484,23,992.686801195,0.0,10,129.3959478218
150.0,59.4406050682,1136.2600349405,11.7294645301,17,1118.028438936,1.0,14,126.5372475394
200.0,56.0874881831,2072.3750094038,17.3991558443,20,2063.687019589,1.7320508076,43,133.6760209771
250.0,71.3089609182,2905.9045802751,27.5758697667,5,3049.770236191,2.0,46,182.8614360494
300.0,65.0478491094,3121.7311842363,29.7672733876,17,3155.783132249,1.7320508076,19,150.9501443663
350.0,81.8424339323,3810.8071061491,35.7445641912,11,3658.395653717,1.0,16,148.4297684313
400.0,80.1999687571,4463.0876908475,39.3891639828,8,4349.281224119,0.0,50,170.3800664689
450.0,89.3258188191,5158.3625840997,43.2513959987,22,5232.810341788,-1.0,43,226.0009174019
500.0,89.7612625217,5848.9461607378,54.063894587,7,5628.574222159,-1.7320508076,10,227.1352769632
550.0,102.0793651049,6038.2966430255,58.4503484128,21,6111.808898693,-2.0,29,203.6742348994
